year,eua,aus
1960,543.30,18.57
1961,563.30,19.65
1962,605.10,19.89
1963,638.60,21.50
1964,685.80,23.76
1965,743.70,25.93
1966,815.00,27.26
1967,861.70,30.39
1968,942.50,32.66
1969,1019.90,36.62
1970,1075.88,41.26
1971,1167.77,45.14
1972,1282.45,51.95
1973,1428.55,63.72
1974,1548.83,88.81
1975,1688.92,97.15
1976,1877.59,104.89
1977,2085.95,110.17
1978,2356.57,118.31
1979,2632.14,134.68
1980,2862.51,149.74
1981,3210.96,176.60
1982,3344.99,193.72
1983,3638.14,176.99
1984,4040.69,193.19
1985,4346.73,180.19
1986,4590.16,181.98
1987,4870.22,189.04
1988,5252.63,235.70
1989,5657.69,299.32
1990,5979.59,310.84
1991,6174.04,325.36
1992,6539.30,324.88
1993,6878.72,311.53
1994,7308.76,322.20
1995,7664.06,367.22
1996,8100.20,400.30
1997,8608.52,434.57
1998,9089.17,398.90
1999,9660.62,388.40
2000,10284.78,415.03
2001,10621.82,378.22
2002,10977.51,394.49
2003,11510.67,466.29
2004,12274.93,611.90
2005,13093.73,692.64
2006,13855.89,745.52
2007,14477.64,851.96
2008,14718.58,1052.58
2009,14418.74,926.45
2010,14964.37,1144.26
2011,15517.93,1394.28
2012,16155.26,1543.41
2013,16691.52,1573.70
2014,17427.61,1464.96
2015,18120.71,1349.03
2016,18624.48,1208.04
2017,19390.60,1323.42